keys,en,ja,zh
AUROROS_TASSET,Auroros Tasset,暁丸【腰当て】,晓丸【腰当】
AUROROS_TASSET_HAKU,Auroros Tasset Haku,暁丸・覇【腰当て】,晓丸・霸【腰当】
AUROROS_TASSET_MAI,Auroros Tasset Mai,暁丸・羅【腰当て】,晓丸・罗【腰当】
AUROROS_TASSET_TEN,Auroros Tasset Ten,暁丸・皇【腰当て】,晓丸・皇【腰当】
AUROROS_TORSO,Auroros Torso,暁丸【胴当て】,晓丸【胴当】
AUROROS_TORSO_HAKU,Auroros Torso Haku,暁丸・覇【胴当て】,晓丸・霸【胴当】
AUROROS_TORSO_MAI,Auroros Torso Mai,暁丸・羅【胴当て】,晓丸・罗【胴当】
AUROROS_TORSO_TEN,Auroros Torso Ten,暁丸・皇【胴当て】,晓丸・皇【胴当】
AUTO,Auto,,
AUTO_GUARD_ACTIVATED,Auto-Guard,オートガード,全自动防御
AUTO_GUARD_SKILL,Auto-Guard,自動防御,自动防御
AUTO_MAP,Auto-Map,地図不要,地图常备
AUTOMATIC_MARKING,Automatic Marking,自動マーキング,自动标示
AUTOTRACKER,Autotracker,自動マーキング,自动标示
AZURE_LAO_SHAN_CLAW,Azure Lao-Shan Claw,老山龍の蒼大爪,老山龍的苍大爪
AZURE_LAO_SHAN_SCALE,Azure Lao-Shan Scale,老山龍の蒼鱗,老山龍的苍鳞
AZURE_LAO_SHAN_SHELL,Azure Lao-Shan Shell,老山龍の蒼甲殻,老山龍的苍甲壳
AZURE_LAO_SHAN_SPINE,Azure Lao-Shan Spine,老山龍の蒼背甲,老山龍的苍背甲
AZURE_RATHALOS_CARAPACE,Azure Rathalos Carapace,蒼火竜の堅殻,苍火龙的坚壳
AZURE_RATHALOS_CLAW,Azure Rathalos Claw,蒼火竜の翼爪,苍火龙的翼爪
AZURE_RATHALOS_PLATE,Azure Rathalos Plate,蒼火竜の逆鱗,苍火龙的逆鳞
AZURE_RATHALOS_RUBY,Azure Rathalos Ruby,蒼火竜の紅玉,苍火龙的红玉
AZURE_RATHALOS_SCALE,Azure Rathalos Scale,蒼火竜の鱗,苍火龙的鳞
AZURE_RATHALOS_SCALE_PLUS,Azure Rathalos Scale+,蒼火竜の上鱗,苍火龙的上鳞
AZURE_RATHALOS_SHELL,Azure Rathalos Shell,蒼火竜の甲殻,苍火龙的甲壳
AZURE_RATHALOS_TAIL,Azure Rathalos Tail,蒼火竜の尻尾,苍火龙的尻尾
AZURE_RATHALOS_WEBBING,Azure Rathalos Webbing,蒼火竜の翼膜,苍火龙的翼膜
AZURE_RATHALOS_WING,Azure Rathalos Wing,蒼火竜の翼,苍火龙的翼
BACKPACKING_EXPERT,Backpacking Expert,運搬の達人,搬运达人
BACKPACKING_SKILL,Backpacking,運搬,搬运
BAD_LUCK,Bad Luck,不運,不运
BASARIOS_CARAPACE,Basarios Carapace,岩竜の堅殻,岩龙的坚壳
BASARIOS_COIN,Basarios Coin,岩竜のコイン,岩龙的硬币
BASARIOS_SHELL,Basarios Shell,岩竜の甲殻,岩龙的甲壳
BASARIOS_TEARS,Basarios Tears,岩竜の涙,岩龙的泪
BASARIOS_WING,Basarios Wing,岩竜の翼,岩龙的翼
BATTLE_CAP,Battle Cap,バトルキャップ,战斗软帽
BATTLE_CAP_PLUS,Battle Cap+,バトルＧキャップ,战斗Ｇ软帽
BATTLE_CAP_S,Battle Cap S,バトルＳキャップ,战斗Ｓ软帽
BATTLE_CAP_U,Battle Cap U,バトルＵキャップ,战斗Ｕ软帽
BATTLE_COAT,Battle Coat,バトルコート,战斗围腰
BATTLE_COAT_PLUS,Battle Coat+,バトルＧコート,战斗Ｇ围腰
BATTLE_COAT_S,Battle Coat S,バトルＳコート,战斗Ｓ围腰
BATTLE_COAT_U,Battle Coat U,バトルＵコート,战斗Ｕ围腰
BATTLE_GREAVES,Battle Greaves,バトルグリーヴ,战斗胫甲
BATTLE_GREAVES_PLUS,Battle Greaves+,バトルＧグリーヴ,战斗Ｇ胫甲
BATTLE_GREAVES_S,Battle Greaves S,バトルＳグリーヴ,战斗Ｓ胫甲
BATTLE_GREAVES_U,Battle Greaves U,バトルＵグリーヴ,战斗Ｕ胫甲
BATTLE_GUARDS,Battle Guards,バトルガード,战斗护臂
BATTLE_GUARDS_PLUS,Battle Guards+,バトルＧガード,战斗Ｇ护臂
BATTLE_GUARDS_S,Battle Guards S,バトルＳガード,战斗Ｓ护臂
BATTLE_GUARDS_U,Battle Guards U,バトルＵガード,战斗Ｕ护臂
BATTLE_HELM,Battle Helm,バトルヘルム,战斗头铠
BATTLE_HELM_PLUS,Battle Helm+,バトルＧヘルム,战斗Ｇ头铠
BATTLE_HELM_S,Battle Helm S,バトルＳヘルム,战斗Ｓ头铠
BATTLE_HELM_U,Battle Helm U,バトルＵヘルム,战斗Ｕ头铠
BATTLE_LEGGINGS,Battle Leggings,バトルレギンス,战斗护胫
BATTLE_LEGGINGS_PLUS,Battle Leggings+,バトルＧレギンス,战斗Ｇ护胫
BATTLE_LEGGINGS_S,Battle Leggings S,バトルＳレギンス,战斗Ｓ护胫
BATTLE_LEGGINGS_U,Battle Leggings U,バトルＵレギンス,战斗Ｕ护胫
BATTLE_MAIL,Battle Mail,バトルメイル,战斗铠甲
BATTLE_MAIL_PLUS,Battle Mail+,バトルＧメイル,战斗Ｇ铠甲
BATTLE_MAIL_S,Battle Mail S,バトルＳメイル,战斗Ｓ铠甲
BATTLE_MAIL_U,Battle Mail U,バトルＵメイル,战斗Ｕ铠甲
BATTLE_TASSET,Battle Tasset,バトルフォールド,战斗腰甲
BATTLE_TASSET_PLUS,Battle Tasset+,バトルＧフォールド,战斗Ｇ腰甲
BATTLE_TASSET_S,Battle Tasset S,バトルＳフォールド,战斗Ｓ腰甲
BATTLE_TASSET_U,Battle Tasset U,バトルＵフォールド,战斗Ｕ腰甲
BATTLE_VAMBRACES,Battle Vambraces,バトルアーム,战斗臂甲
BATTLE_VAMBRACES_PLUS,Battle Vambraces+,バトルＧアーム,战斗Ｇ臂甲
BATTLE_VAMBRACES_S,Battle Vambraces S,バトルＳアーム,战斗Ｓ臂甲
BATTLE_VAMBRACES_U,Battle Vambraces U,バトルＵアーム,战斗Ｕ臂甲
BATTLE_VEST,Battle Vest,バトルレジスト,战斗轻甲
BATTLE_VEST_PLUS,Battle Vest+,バトルＧレジスト,战斗Ｇ轻甲
BATTLE_VEST_S,Battle Vest S,バトルＳレジスト,战斗Ｓ轻甲
BATTLE_VEST_U,Battle Vest U,バトルＵレジスト,战斗Ｕ轻甲
BISHOP_ROOM,Bishop Room,ビショップ,主教客房
BLACK_BELT_GREAVES,Black Belt Greaves,クロオビグリーヴ,黑带胫甲
BLACK_BELT_HELM,Black Belt Helm,クロオビヘルム,黑带头铠
BLACK_BELT_MAIL,Black Belt Mail,クロオビメイル,黑带铠甲
BLACK_BELT_TASSET,Black Belt Tasset,クロオビフォールド,黑带腰甲
BLACK_BELT_VAMBRACES,Black Belt Vambraces,クロオビアーム,黑带臂甲
BLACK_DIABLOS_SHELL,Black Diablos Shell,黒角竜の甲殻,黑角龙的甲壳
BLACK_DIABLOS_SPINE,Black Diablos Spine,黒角竜の背甲,黑角龙的背甲
BLACK_DIABLOS_TAIL,Black Diablos Tail,黒角竜の尻尾,黑角龙的尻尾
BLACK_GRAVIOS_CARAPACE,Black Gravios Carapace,黒鎧竜の堅殻,黑铠龙的坚壳
BLACK_GRAVIOS_HEAD,Black Gravios Head,黒鎧竜の頭,黑铠龙的头
BLACK_GRAVIOS_SHELL,Black Gravios Shell,黒鎧竜の甲殻,黑铠龙的甲壳
BLACK_GRAVIOS_WING,Black Gravios Wing,黒鎧竜の翼,黑铠龙的翼
BLACK_PIERCING,Black Piercing,ブラックピアス,幽玄耳饰
BLACK_PIERCING_PLUS,Black Piercing+,ブラックＧピアス,幽玄Ｇ耳饰
BLACK_PIERCING_S,Black Piercing S,ブラックＳピアス,幽玄Ｓ耳饰
BLADEMASTER,Blademaster,剣士,剑士
BLUE_KUT_KU_EAR,Blue Kut-Ku Ear,青怪鳥の耳,青怪鸟的耳
BLUE_KUT_KU_SHELL,Blue Kut-Ku Shell,黒角竜の背甲,黑角龙的背甲
BLUE_KUT_KU_WEBBING,Blue Kut-Ku Webbing,青怪鳥の翼膜,青怪鸟的翼膜
BLUE_PANTS,Blue Pants,ブルージャージー,蓝色束裤
BLUE_PANTS_PLUS,Blue Pants+,ブルーＧジャージー,蓝色Ｇ束裤
BLUE_PANTS_S,Blue Pants S,ブルーＳジャージー,蓝色Ｓ束裤
BLUE_PIERCING,Blue Piercing,ブルーピアス,苍流耳饰
BLUE_PIERCING_PLUS,Blue Piercing+,ブルーＧピアス,苍流Ｇ耳饰
BLUE_PIERCING_S,Blue Piercing S,ブルーＳピアス,苍流Ｓ耳饰
BLUNT_SKILL,Blunt,なまくら,钝刀
BOMBER_ACTIVATED,Bomber,ボマー,炸弹客
BOMBER_SKILL,Bomber,爆弾強化,爆弹强化
BONE,Bone,堅竜骨,坚龙骨
BONE_CAP,Bone Cap,ボーンキャップ,骸骨软帽
BONE_CAP_PLUS,Bone Cap+,ボーンＧキャップ,骸骨Ｇ软帽
BONE_CAP_S,Bone Cap S,ボーンＳキャップ,骸骨Ｓ软帽
BONE_CAP_U,Bone Cap U,ボーンＵキャップ,骸骨Ｕ软帽
BONE_COAT,Bone Coat,ボーンコート,骸骨围腰
BONE_COAT_PLUS,Bone Coat+,ボーンＧコート,骸骨Ｇ围腰
BONE_COAT_S,Bone Coat S,ボーンＳコート,骸骨Ｓ围腰
BONE_COAT_U,Bone Coat U,ボーンＵコート,骸骨Ｕ围腰
BONE_GREAVES,Bone Greaves,ボーングリーヴ,骸骨胫甲
BONE_GREAVES_PLUS,Bone Greaves+,ボーンＧグリーヴ,骸骨Ｇ胫甲
BONE_GREAVES_S,Bone Greaves S,ボーンＳグリーヴ,骸骨Ｓ胫甲
BONE_GREAVES_U,Bone Greaves U,ボーンＵグリーヴ,骸骨Ｕ胫甲
BONE_GUARDS,Bone Guards,ボーンガード,骸骨护臂
BONE_GUARDS_PLUS,Bone Guards+,ボーンＧガード,骸骨Ｇ护臂
BONE_GUARDS_S,Bone Guards S,ボーンＳガード,骸骨Ｓ护臂
BONE_GUARDS_U,Bone Guards U,ボーンＵガード,骸骨Ｕ护臂
BONE_HELM,Bone Helm,ボーンヘルム,骸骨头铠
BONE_HELM_PLUS,Bone Helm+,ボーンＧヘルム,骸骨Ｇ头铠
BONE_HELM_S,Bone Helm S,ボーンＳヘルム,骸骨Ｓ头铠
BONE_HELM_U,Bone Helm U,ボーンＵヘルム,骸骨Ｕ头铠
BONE_LEGGINGS,Bone Leggings,ボーンレギンス,骸骨护胫
BONE_LEGGINGS_PLUS,Bone Leggings+,ボーンＧレギンス,骸骨Ｇ护胫
BONE_LEGGINGS_S,Bone Leggings S,ボーンＳレギンス,骸骨Ｓ护胫
BONE_LEGGINGS_U,Bone Leggings U,ボーンＵレギンス,骸骨Ｕ护胫
BONE_MAIL,Bone Mail,ボーンメイル,骸骨铠甲
BONE_MAIL_PLUS,Bone Mail+,ボーンＧメイル,骸骨Ｇ铠甲
BONE_MAIL_S,Bone Mail S,ボーンＳメイル,骸骨Ｓ铠甲
BONE_MAIL_U,Bone Mail U,ボーンＵメイル,骸骨Ｕ铠甲
BONE_TASSET,Bone Tasset,ボーンフォールド,骸骨腰甲
BONE_TASSET_PLUS,Bone Tasset+,ボーンＧフォールド,骸骨Ｇ腰甲
BONE_TASSET_S,Bone Tasset S,ボーンＳフォールド,骸骨Ｓ腰甲
BONE_TASSET_U,Bone Tasset U,ボーンＵフォールド,骸骨Ｕ腰甲
BONE_VAMBRACES,Bone Vambraces,ボーンアーム,骸骨臂甲
BONE_VAMBRACES_PLUS,Bone Vambraces+,ボーンＧアーム,骸骨Ｇ臂甲
BONE_VAMBRACES_S,Bone Vambraces S,ボーンＳアーム,骸骨Ｓ臂甲
BONE_VAMBRACES_U,Bone Vambraces U,ボーンＵアーム,骸骨Ｕ臂甲
BONE_VEST,Bone Vest,ボーンレジスト,骸骨轻甲
BONE_VEST_PLUS,Bone Vest+,ボーンＧレジスト,骸骨Ｇ轻甲
BONE_VEST_S,Bone Vest S,ボーンＳレジスト,骸骨Ｓ轻甲
BONE_VEST_U,Bone Vest U,ボーンＵレジスト,骸骨Ｕ轻甲
BOOTS,Boots,ブーツ,脚装备
BOREALIS_CHEST,Borealis Chest,凛【胸当て】,凛【胸当】
BOREALIS_CHEST_HAKU,Borealis Chest Haku,凛・覇【胸当て】,凛・霸【胸当】
BOREALIS_CHEST_MAI,Borealis Chest Mai,凛・羅【胸当て】,凛・罗【胸当】
BOREALIS_CHEST_TEN,Borealis Chest Ten,凛・皇【胸当て】,凛・皇【胸当】
BOREALIS_CROWN,Borealis Crown,凛【鉢金】,凛【钵金】
BOREALIS_CROWN_HAKU,Borealis Crown Haku,凛・覇【鉢金】,凛・霸【钵金】
BOREALIS_CROWN_MAI,Borealis Crown Mai,凛・羅【鉢金】,凛・罗【钵金】
BOREALIS_CROWN_TEN,Borealis Crown Ten,凛・皇【鉢金】,凛・皇【钵金】
BOREALIS_GAUNTLETS,Borealis Gauntlets,凛【篭手】,凛【笼手】
BOREALIS_GAUNTLETS_HAKU,Borealis Gauntlets Haku,凛・覇【篭手】,凛・霸【笼手】
BOREALIS_GAUNTLETS_MAI,Borealis Gauntlets Mai,凛・羅【篭手】,凛・罗【笼手】
BOREALIS_GAUNTLETS_TEN,Borealis Gauntlets Ten,凛・皇【篭手】,凛・皇【笼手】
BOREALIS_PANTS,Borealis Pants,凛【袴】,凛【裤】
BOREALIS_PANTS_HAKU,Borealis Pants Haku,凛・覇【袴】,凛・霸【裤】
BOREALIS_PANTS_MAI,Borealis Pants Mai,凛・羅【袴】,凛・罗【裤】
BOREALIS_PANTS_TEN,Borealis Pants Ten,凛・皇【袴】,凛・皇【裤】
BOREALIS_TASSET,Borealis Tasset,凛【腰当て】,凛【腰当】
BOREALIS_TASSET_HAKU,Borealis Tasset Haku,凛・覇【腰当て】,凛・霸【腰当】
BOREALIS_TASSET_MAI,Borealis Tasset Mai,凛・羅【腰当て】,凛・罗【腰当】
BOREALIS_TASSET_TEN,Borealis Tasset Ten,凛・皇【腰当て】,凛・皇【腰当】
BULLFANGO_HEAD,Bullfango Head,ファンゴの頭,大野猪的头
BULLFANGO_HIDE,Bullfango Hide,ファンゴの毛皮,大野猪的毛皮
BULLFANGO_MASK,Bullfango Mask,ブルファンゴフェイク,大野猪伪装头
BULLFANGO_MASK_PLUS,Bullfango Mask+,ブルＧフェイク,大野猪Ｇ伪装头
BULLFANGO_MASK_S,Bullfango Mask S,ブルＳフェイク,大野猪Ｓ伪装头
BUYING_PRICE,Buy,買い値,
CANCEL,Cancel,止める,
CARBALITE_ORE,Carbalite Ore,カブレライト鉱石,灵鹤石
CEPHADROME_TOP_FIN,Cephadrome Top Fin,砂竜の背ビレ,砂龙的背鳍
CEPHALOS_CAP,Cephalos Cap,ガレオスキャップ,砂龙软帽
CEPHALOS_CAP_PLUS,Cephalos Cap+,ガレオスＧキャップ,砂龙Ｇ软帽
CEPHALOS_CAP_S,Cephalos Cap S,ガレオスＳキャップ,砂龙Ｓ软帽
CEPHALOS_CAP_U,Cephalos Cap U,ガレオスＵキャップ,砂龙Ｕ软帽
CEPHALOS_COAT,Cephalos Coat,ガレオスコート,砂龙围腰
CEPHALOS_COAT_PLUS,Cephalos Coat+,ガレオスＧコート,砂龙Ｇ围腰
CEPHALOS_COAT_S,Cephalos Coat S,ガレオスＳコート,砂龙Ｓ围腰
CEPHALOS_COAT_U,Cephalos Coat U,ガレオスＵコート,砂龙Ｕ围腰
CEPHALOS_COIN,Cephalos Coin,砂竜のコイン,砂龙的硬币
CEPHALOS_FIN,Cephalos Fin,砂竜のヒレ,砂龙的鳍
CEPHALOS_GREAVES,Cephalos Greaves,ガレオスグリーヴ,砂龙胫甲
CEPHALOS_GREAVES_PLUS,Cephalos Greaves+,ガレオスＧグリーヴ,砂龙Ｇ胫甲
CEPHALOS_GREAVES_S,Cephalos Greaves S,ガレオスＳグリーヴ,砂龙Ｓ胫甲
CEPHALOS_GREAVES_U,Cephalos Greaves U,ガレオスＵグリーヴ,砂龙Ｕ胫甲
CEPHALOS_GUARDS,Cephalos Guards,ガレオスガード,砂龙护臂
CEPHALOS_GUARDS_PLUS,Cephalos Guards+,ガレオスＧガード,砂龙Ｇ护臂
CEPHALOS_GUARDS_S,Cephalos Guards S,ガレオスＳガード,砂龙Ｓ护臂
CEPHALOS_GUARDS_U,Cephalos Guards U,ガレオスＵガード,砂龙Ｕ护臂
CEPHALOS_HELM,Cephalos Helm,ガレオスヘルム,砂龙头铠
CEPHALOS_HELM_PLUS,Cephalos Helm+,ガレオスＧヘルム,砂龙Ｇ头铠
CEPHALOS_HELM_S,Cephalos Helm S,ガレオスＳヘルム,砂龙Ｓ头铠
CEPHALOS_HELM_U,Cephalos Helm U,ガレオスＵヘルム,砂龙Ｕ头铠
CEPHALOS_LEGGINGS,Cephalos Leggings,ガレオスレギンス,砂龙护胫
CEPHALOS_LEGGINGS_PLUS,Cephalos Leggings+,ガレオスＧレギンス,砂龙Ｇ护胫
CEPHALOS_LEGGINGS_S,Cephalos Leggings S,ガレオスＳレギンス,砂龙Ｓ护胫
CEPHALOS_LEGGINGS_U,Cephalos Leggings U,ガレオスＵレギンス,砂龙Ｕ护胫
CEPHALOS_MAIL,Cephalos Mail,ガレオスメイル,砂龙铠甲
CEPHALOS_MAIL_PLUS,Cephalos Mail+,ガレオスＧメイル,砂龙Ｇ铠甲
CEPHALOS_MAIL_S,Cephalos Mail S,ガレオスＳメイル,砂龙Ｓ铠甲
CEPHALOS_MAIL_U,Cephalos Mail U,ガレオスＵメイル,砂龙Ｕ铠甲
CEPHALOS_SCALE,Cephalos Scale,砂竜の鱗,砂龙的鳞
CEPHALOS_SCALE_PLUS,Cephalos Scale+,砂竜の上鱗,砂龙的上鳞
CEPHALOS_TASSET,Cephalos Tasset,ガレオスフォールド,砂龙腰甲
CEPHALOS_TASSET_PLUS,Cephalos Tasset+,ガレオスＧフォールド,砂龙Ｇ腰甲
CEPHALOS_TASSET_S,Cephalos Tasset S,ガレオスＳフォールド,砂龙Ｓ腰甲
CEPHALOS_TASSET_U,Cephalos Tasset U,ガレオスＵフォールド,砂龙Ｕ腰甲
CEPHALOS_VAMBRACES,Cephalos Vambraces,ガレオスアーム,砂龙臂甲
CEPHALOS_VAMBRACES_PLUS,Cephalos Vambraces+,ガレオスＧアーム,砂龙Ｇ臂甲
CEPHALOS_VAMBRACES_S,Cephalos Vambraces S,ガレオスＳアーム,砂龙Ｓ臂甲
CEPHALOS_VAMBRACES_U,Cephalos Vambraces U,ガレオスＵアーム,砂龙Ｕ臂甲
CEPHALOS_VEST,Cephalos Vest,ガレオスレジスト,砂龙轻甲
CEPHALOS_VEST_PLUS,Cephalos Vest+,ガレオスＧレジスト,砂龙Ｇ轻甲
CEPHALOS_VEST_S,Cephalos Vest S,ガレオスＳレジスト,砂龙Ｓ轻甲
CEPHALOS_VEST_U,Cephalos Vest U,ガレオスＵレジスト,砂龙Ｕ轻甲
CHAIN_BELT,Chain Belt,チェーンライトベルト,轻链腰带
CHAIN_BELT_PLUS,Chain Belt+,Ｃ・ライトＧベルト,轻链Ｇ腰带
CHAIN_BELT_S,Chain Belt S,Ｃ・ライトＳベルト,轻链Ｓ腰带
CHAIN_HELM,Chain Helm,チェーンヘルム,锁链头铠
CHAIN_HELM_PLUS,Chain Helm+,チェーンＧヘルム,锁链Ｇ头铠
CHAIN_HELM_S,Chain Helm S,チェーンＳヘルム,锁链Ｓ头铠
CHAIN_MAIL,Chain Mail,チェーンメイル,锁链铠甲
CHAIN_MAIL_PLUS,Chain Mail+,チェーンＧメイル,锁链Ｇ铠甲
CHAIN_MAIL_S,Chain Mail S,チェーンＳメイル,锁链Ｓ铠甲
CHAIN_VAMBRACES,Chain Vambraces,チェーンアーム,锁链臂甲
CHAIN_VAMBRACES_PLUS,Chain Vambraces+,チェーンＧアーム,锁链Ｇ臂甲
CHAIN_VAMBRACES_S,Chain Vambraces S,チェーンＳアーム,锁链Ｓ臂甲
CHINESE,Chinese (Simplified),中国語,汉语
CHROME_METAL_BOOTS,Chrome Metal Boots,クロムメタルブーツ,合金靴・阳
CHROME_METAL_BOOTS_PLUS,Chrome Metal Boots+,クロムメタルＧブーツ,合金Ｇ靴・阳
CHROME_METAL_BOOTS_S,Chrome Metal Boots S,クロムメタルＳブーツ,合金Ｓ靴・阳
CHROME_METAL_COAT,Chrome Metal Coat,クロムメタルコイル,合金扣带・阳
CHROME_METAL_COAT_PLUS,Chrome Metal Coat+,クロムメタルＧコイル,合金Ｇ扣带・阳
CHROME_METAL_COAT_S,Chrome Metal Coat S,クロムメタルＳコイル,合金Ｓ扣带・阳
CLUST_S_ADD,Clust S Add,拡散弾追加,扩散弹追加
CLUST_S_ADD_1,Clust S Add 1,拡散弾ＬＶ１追加,扩散弹LV1追加
CLUST_S_ADD_2,Clust S Add 2,拡散弾ＬＶ1&2追加,扩散弹LV1&2追加
CLUST_S_ADD_3,Clust S Add 3,拡散弾全レベル追加,扩散弹全等级追加
COLD_DOUBLED,Cold Doubled,寒さ倍加【×2】,寒冷倍加【×2】
COLD_HALVED,Cold Halved,寒さ半減,寒冷半减
COLD_NEGATED_MH1,Anti-Cold,寒さ無効,寒冷无效
COLD_NEGATED_MHG,Cold Negated,寒さ無効,寒冷无效
COLD_RES,Cold Res,耐寒,耐寒
COLD_X_1_5,Cold x1.5,寒さ倍加【×1.5】,寒冷倍加【×1.5】
COMBINE_SUCCESS,Combine Success,調合成功率,调合成功率
COMBINE_SUCCESS_MINUS_10,Combine Success -10%,調合成功率-10%,调合成功率-10%
COMBINE_SUCCESS_MINUS_15,Combine Success -15%,調合成功率-15%,调合成功率-15%
COMBINE_SUCCESS_MINUS_5,Combine Success -5%,調合成功率-5%,调合成功率-5%
COMBINE_SUCCESS_PLUS_10,Combine Success +10%,調合成功率+10%,调合成功率+10%
COMBINE_SUCCESS_PLUS_20,Combine Success +20%,調合成功率+20%,调合成功率+20%
COMBINE_SUCCESS_PLUS_5,Combine Success +5%,調合成功率+5%,调合成功率+5%
COMMENDATION,Commendation,勇気の証,勇气之证
CORAL_CEPHALOS_FIN,Coral Cephalos Fin,砂竜の桃ヒレ,砂龙的桃鳍
CORAL_CEPHALOS_SCALE,Coral Cephalos Scale,砂竜の紫鱗,砂龙的紫鳞
COST,Cost,価格,费用
CRAG_S_ADD,Crag S Add,榴弾追加,榴弹追加
CRAG_S_ADD_1,Crag S Add 1,徹甲榴弾ＬＶ１追加,彻甲榴弹LV1追加
CRAG_S_ADD_2,Crag S Add 2,徹甲榴弾ＬＶ1&2追加,彻甲榴弹LV1&2追加
CRAG_S_ADD_3,Crag S Add 3,徹甲榴弾全レベル追加,彻甲榴弹全等级追加
CREAM_PANTS,Cream Pants,クリームジャージー,米色束裤
CRIMSON_HORN,Crimson Horn,真紅の角,真红之角
DARK_METAL_BOOTS,Dark Metal Boots,ダークメタルブーツ,合金靴・暗
DARK_METAL_BOOTS_PLUS,Dark Metal Boots+,ダークメタルＧブーツ,合金Ｇ靴・暗
DARK_METAL_BOOTS_S,Dark Metal Boots S,ダークメタルＳブーツ,合金Ｓ靴・暗
DEFENSE_MINUS_10,Defense -10,防御-10,防御-10
DEFENSE_MINUS_15,Defense -15,防御-15,防御-15
DEFENSE_MINUS_20,Defense -20,防御-20,防御-20
DEFENSE_PLUS_10,Defense + 10,防御力+10,防御力+10
DEFENSE_PLUS_10,Defense +10,防御+10,防御+10
DEFENSE_PLUS_15,Defense +15,防御+15,防御+15
DEFENSE_PLUS_20,Defense +20,防御+20,防御+20
DEFENSE_PLUS_5,Defense + 5,防御力+5,防御力+5
DEFENSE_SKILL,Defense,防御,防御
DEFENSE_STAT,Defense,防御,防御
DEMONIC_PROTECTION,Demonic Protection,悪霊の加護,恶灵的加护
DETECT,Detect,探知,探知
DEVILS_WHIM,Devil's Whim,悪魔の気まぐれ,恶魔的反覆无常
DIABLO_CAP,Diablo Cap,ディアブロキャップ,角龙软帽
DIABLO_CAP_PLUS,Diablo Cap+,ディアブロＧキャップ,角龙Ｇ软帽
DIABLO_CAP_S,Diablo Cap S,ディアブロＳキャップ,角龙Ｓ软帽
DIABLO_CAP_U,Diablo Cap U,ディアブロＵキャップ,角龙Ｕ软帽
DIABLO_GUARDS,Diablo Guards,ディアブロガード,角龙护臂
DIABLO_GUARDS_PLUS,Diablo Guards+,ディアブロＧガード,角龙Ｇ护臂
DIABLO_GUARDS_S,Diablo Guards S,ディアブロＳガード,角龙Ｓ护臂
